구분,구분상세,관광,스포츠활동,문화예술관람,문화예술참여,스포츠관람,취미오락,휴식,사회기타활동
서울시,소계,11.2,7.6,7.0,2.1,4.7,17.2,37.8,12.4
성별,남성,10.3,9.7,6.1,2.0,6.8,17.5,37.4,10.2
성별,여성,12.1,5.6,7.8,2.3,2.7,17.0,38.2,14.4
연령별,10대,5.1,8.8,6.0,2.4,4.3,27.2,34.5,11.7
연령별,20대,12.2,8.3,9.6,3.2,6.2,21.7,29.2,9.5
연령별,30대,13.6,7.3,10.1,2.3,5.5,17.0,34.6,9.4
연령별,40대,12.7,9.5,7.8,1.9,4.6,17.3,36.0,10.1
연령별,50대,11.7,6.7,6.2,1.9,4.6,15.2,41.8,11.9
연령별,60세 이상,9.3,6.7,4.2,1.7,3.5,14.5,43.0,17.1
학력별,중학교 이하,6.9,3.8,3.3,1.3,1.8,14.7,48.8,19.3
학력별,고졸 이하,9.0,6.2,5.5,1.7,3.8,15.8,42.3,15.7
학력별,대졸 이하,13.1,8.6,8.2,2.5,5.4,18.3,34.1,9.7
학력별,대학원 이상,7.2,16.3,8.3,3.8,7.0,16.8,30.8,9.8
소득별,200만원 미만,7.8,3.4,3.1,1.6,2.1,14.2,49.4,18.4
소득별, 200-400만원 미만,9.0,6.6,6.3,2.0,4.4,15.6,42.0,14.0
소득별, 400-600만원 미만,11.3,6.8,7.2,2.5,4.9,17.0,38.9,11.4
소득별, 600-800만원 미만,12.4,8.7,8.1,2.2,4.8,18.5,33.6,11.6
소득별, 800만원 이상,13.8,9.9,7.3,2.0,5.2,19.0,32.3,10.5
혼인상태별,기혼,12.0,7.3,6.4,1.8,4.0,15.6,40.1,12.8
혼인상태별,미혼,10.9,9.3,9.1,2.9,6.3,21.4,30.4,9.7
혼인상태별,이혼/사별/기타,8.7,4.7,4.7,1.8,3.4,14.5,45.2,16.9
지역대분류,도심권,10.0,6.3,8.1,2.2,4.4,21.7,42.9,4.4
지역대분류,동북권,9.9,6.4,7.1,1.6,3.8,16.7,42.5,12.1
지역대분류,서북권,17.1,5.7,6.5,1.9,3.7,16.2,31.6,17.3
지역대분류,서남권,9.2,7.2,6.8,2.3,4.5,18.5,39.6,12.0
지역대분류,동남권,13.1,11.2,7.2,2.8,6.8,15.7,30.7,12.5
지역소분류,종로구,20.8,4.4,7.7,1.5,4.5,27.0,25.1,9.1
지역소분류,중구,7.0,5.4,19.6,2.7,5.1,15.4,41.8,2.9
지역소분류,용산구,4.2,8.3,1.2,2.4,3.9,22.0,55.9,1.9
지역소분류,성동구,9.4,3.2,10.7,0.6,4.0,24.0,40.8,7.3
지역소분류,광진구,13.5,4.1,2.0,2.2,3.2,22.7,39.9,12.3
지역소분류,동대문구,12.8,10.5,9.1,1.4,6.5,19.3,21.1,19.3
지역소분류,중랑구,14.3,6.1,13.3,4.7,4.0,13.0,34.7,10.0
지역소분류,성북구,9.4,2.7,4.9,1.4,2.0,22.3,43.1,14.3
지역소분류,강북구,5.2,4.3,7.2,0.9,6.0,14.4,52.6,9.4
지역소분류,도봉구,1.8,18.9,4.2,0.2,0.8,11.3,45.5,17.3
지역소분류,노원구,10.3,3.8,6.1,1.0,3.8,9.6,57.8,7.6
지역소분류,은평구,20.5,3.6,10.0,0.7,3.8,20.1,28.2,13.2
지역소분류,서대문구,17.4,5.5,4.5,2.1,3.6,11.2,29.4,26.3
지역소분류,마포구,12.7,8.5,3.6,3.2,3.7,15.5,38.0,14.8
지역소분류,양천구,16.0,7.1,4.7,5.7,4.3,12.5,39.6,10.2
지역소분류,강서구,6.1,2.7,9.0,1.2,4.7,22.1,36.4,17.8
지역소분류,구로구,7.1,9.2,10.2,1.5,4.1,12.7,39.6,15.6
지역소분류,금천구,4.1,0.7,0.8,0.5,1.1,34.3,52.4,6.1
지역소분류,영등포구,8.5,6.2,10.3,2.7,6.8,17.0,45.5,3.0
지역소분류,동작구,12.2,12.2,4.1,1.8,2.4,14.7,40.7,11.9
지역소분류,관악구,9.0,10.8,5.4,2.2,6.0,20.8,32.3,13.5
지역소분류,서초구,22.6,6.4,5.3,2.0,2.2,18.5,31.7,11.3
지역소분류,강남구,12.0,18.5,10.0,4.4,5.0,9.2,23.4,17.6
지역소분류,송파구,11.0,9.3,5.0,2.3,8.0,20.3,32.0,12.1
지역소분류,강동구,9.3,9.6,8.8,2.3,11.2,14.3,36.6,8.0
직업분류,관리전문직,13.7,9.7,8.6,2.0,7.6,13.6,33.9,10.9
직업분류,화이트칼라,12.3,9.2,8.5,2.2,4.8,17.2,35.6,10.2
직업분류,블루칼라,10.8,6.2,5.2,1.9,5.0,17.1,40.4,13.5
직업분류,기타,9.9,6.4,6.3,2.3,3.6,18.0,39.1,14.3
