구분,구분상세,전체,경제문제,건강,자녀양육,노후생활,가족문제,공부,진로,결혼,자기개발,고민없음,이성우정,신체외모,인터넷커뮤니티,학교폭력,기타
서울시,소계,100,25.7,18.4,9.3,9.2,8.8,6.8,5.7,4.3,3.5,2.7,2.7,2.2,0.5,0.1,0.1
성별,남성,100,27.6,16.5,7.4,8.8,9.1,7.4,6.5,4.3,4.2,3.0,2.6,1.8,0.7,0.1,0.1
성별,여성,100,23.9,20.3,11.2,9.5,8.5,6.2,4.9,4.2,2.7,2.5,2.8,2.7,0.4,0.1,0.1
연령별,10대,100,4.6,4.0,0.4,0.5,3.5,54.5,15.9,0.6,2.7,1.0,5.2,5.2,1.1,0.6,
연령별,20대,100,16.9,6.0,3.7,1.6,6.1,12.0,18.2,6.8,9.6,3.2,9.2,5.2,1.2,0.0,0.1
연령별,30대,100,33.0,8.6,20.2,3.6,8.6,0.9,2.9,8.7,4.8,3.3,2.8,1.8,0.6,0.1,0.1
연령별,40대,100,37.1,13.7,17.9,8.3,11.0,1.7,2.2,1.7,1.8,2.3,0.5,1.4,0.2,0.1,0.1
연령별,50대,100,30.1,25.8,5.0,16.3,11.2,0.8,2.1,3.3,1.2,2.6,0.3,1.1,0.2,0.0,0.1
연령별,60세 이상,100,18.0,44.2,1.2,19.8,8.8,0.4,0.3,2.1,0.6,3.0,0.2,1.0,0.2,0.0,0.0
학력별,중학교 이하,100,19.5,42.4,1.2,17.5,6.6,5.2,1.0,1.6,0.7,2.1,0.5,1.3,0.2,0.2,0.1
학력별,고졸 이하,100,27.2,18.4,8.3,10.7,10.7,9.0,4.1,3.1,1.9,2.5,1.4,1.9,0.6,0.1,0.0
학력별,대졸 이하,100,26.3,11.4,12.4,5.6,7.9,5.7,8.3,5.9,5.4,3.0,4.4,2.8,0.6,0.1,0.1
학력별,대학원 이상,100,27.0,15.0,14.1,6.9,9.5,2.1,6.5,4.1,6.2,5.9,1.3,0.7,0.2,0.1,0.4
소득별,100 만원 미만,100,24.5,32.4,0.6,18.4,4.8,3.9,6.6,0.4,0.2,4.6,0.9,2.1,0.6,,
소득별,100-200만 미만,100,27.2,25.1,3.3,12.8,8.6,5.1,5.6,3.4,1.8,3.2,1.6,2.1,0.2,0.1,0.1
소득별,200-300만 미만,100,28.9,19.5,6.8,9.0,9.5,4.6,4.7,5.4,3.4,2.9,2.5,1.7,0.9,0.1,0.0
소득별,300-400만 미만,100,28.6,15.5,12.9,7.7,8.8,6.5,4.4,4.2,3.6,2.4,2.3,2.1,0.8,0.1,0.0
소득별,400-500만 미만,100,26.9,14.2,11.5,8.0,9.5,8.7,5.7,4.0,3.6,2.3,2.8,2.4,0.2,0.1,0.0
소득별,500만 이상,100,19.5,18.5,10.0,8.6,8.4,8.2,7.4,4.7,4.4,2.8,3.9,2.7,0.3,0.2,0.2
혼인상태별,기혼,100,31.2,21.6,14.3,10.7,10.2,1.0,1.8,1.7,2.5,2.7,0.4,1.4,0.3,0.1,0.1
혼인상태별,미혼,100,13.6,6.2,0.8,1.8,4.6,22.2,16.4,10.7,6.4,2.4,8.8,4.7,1.1,0.2,0.0
혼인상태별,이혼/별거,100,33.6,17.2,5.6,13.6,16.7,0.7,1.5,3.9,2.2,3.4,0.7,0.7,0.3,,0.0
혼인상태별,사별,100,19.3,40.8,1.2,23.2,7.4,0.6,0.4,1.5,0.4,4.1,0.3,0.5,,,0.1
지역대분류,도심권,100,22.9,19.7,8.3,10.6,9.6,6.5,4.8,4.0,4.8,3.0,3.1,2.3,0.2,0.0,0.1
지역대분류,동북권,100,25.8,19.2,10.3,10.0,7.2,7.1,5.1,3.9,3.4,2.6,2.3,2.7,0.4,0.2,0.0
지역대분류,서북권,100,30.5,18.8,8.0,8.2,8.5,5.7,4.9,5.1,3.1,2.3,2.1,1.9,0.3,0.1,0.4
지역대분류,서남권,100,27.1,16.0,9.3,7.9,10.6,6.0,7.3,4.8,3.1,3.1,2.7,1.5,0.4,0.1,0.1
지역대분류,동남권,100,21.6,20.1,8.9,9.9,8.7,8.1,4.9,3.6,3.9,2.7,3.7,2.7,1.0,0.1,0.0
지역소분류,종로구,100,20.0,20.0,9.2,11.7,7.7,8.2,4.6,3.7,6.2,4.3,1.4,2.6,0.2,0.1,0.1
지역소분류,중구,100,18.1,19.7,8.9,13.9,11.7,6.4,9.1,5.6,1.8,1.1,1.7,2.0,,,
지역소분류,용산구,100,27.6,19.5,7.3,8.2,9.8,5.2,2.6,3.3,5.5,3.2,5.0,2.3,0.3,,0.3
지역소분류,성동구,100,27.3,15.7,10.3,10.1,6.0,4.1,7.3,3.9,8.6,0.7,3.3,2.4,0.4,,
지역소분류,광진구,100,31.3,15.2,9.5,9.0,8.4,6.0,4.5,4.5,3.9,1.8,2.4,3.1,0.2,0.1,
지역소분류,동대문구,100,20.8,18.5,10.7,12.4,6.2,8.2,4.5,4.5,3.3,2.7,2.2,4.6,1.1,0.2,
지역소분류,중랑구,100,16.5,24.3,5.8,11.0,11.6,6.3,2.5,3.4,2.2,6.1,4.4,5.5,0.7,0.0,
지역소분류,성북구,100,19.2,22.7,10.3,12.7,4.9,9.1,3.3,6.3,4.9,1.0,1.9,2.8,0.5,0.5,
지역소분류,강북구,100,36.3,15.8,6.8,10.0,8.5,4.3,6.3,3.5,1.7,3.5,1.6,1.0,0.3,0.3,
지역소분류,도봉구,100,26.8,19.5,14.9,9.1,8.6,8.3,6.4,2.8,1.3,0.0,0.8,1.2,0.1,0.1,
지역소분류,노원구,100,29.9,19.0,12.9,6.6,4.5,8.4,6.7,2.5,2.4,3.7,1.8,1.3,0.2,0.2,0.0
지역소분류,은평구,100,28.2,20.0,9.1,7.7,9.2,4.2,6.0,5.0,3.0,2.4,2.8,1.7,,0.2,0.6
지역소분류,서대문구,100,23.7,18.9,8.6,10.4,10.8,7.3,1.7,5.4,4.2,1.3,2.6,3.1,1.0,0.1,0.8
지역소분류,마포구,100,39.2,17.3,6.0,6.9,5.5,6.4,6.1,5.0,2.5,2.9,0.7,1.2,0.2,0.1,
지역소분류,양천구,100,26.5,11.6,14.9,6.4,8.4,8.9,8.4,7.8,1.1,3.2,1.7,0.5,0.1,0.0,0.3
지역소분류,강서구,100,35.2,15.0,10.1,8.3,6.7,5.7,10.1,2.9,1.7,0.9,1.9,1.1,0.3,0.0,
지역소분류,구로구,100,17.0,16.3,11.0,8.2,21.6,4.4,3.8,3.8,4.2,4.4,3.3,1.8,0.1,0.1,
지역소분류,금천구,100,27.9,22.3,7.3,5.5,7.2,8.8,5.3,4.7,1.5,3.7,4.9,0.5,0.3,,
지역소분류,영등포구,100,31.3,14.7,5.9,12.6,5.9,6.8,4.4,6.7,4.3,1.7,3.6,1.5,0.6,0.0,
지역소분류,동작구,100,27.0,21.1,5.8,7.1,14.0,3.7,7.0,3.2,4.2,0.8,1.9,2.6,1.3,0.3,
지역소분류,관악구,100,24.1,14.7,7.9,7.3,10.0,4.5,9.6,4.9,4.7,6.9,2.6,2.4,0.4,,0.0
지역소분류,서초구,100,23.6,26.7,7.2,6.7,9.7,5.6,5.4,3.0,4.4,0.7,4.2,2.3,0.5,0.1,
지역소분류,강남구,100,18.1,19.5,8.0,8.6,9.1,8.9,6.7,4.3,5.5,5.8,2.6,2.0,0.7,0.1,0.1
지역소분류,송파구,100,19.4,19.5,10.6,12.6,8.5,8.3,5.3,3.9,2.3,1.5,3.7,3.4,0.9,0.1,
지역소분류,강동구,100,26.9,15.8,9.3,10.8,7.8,9.2,1.9,3.0,3.7,2.6,4.4,3.0,1.7,,0.1
